Min_hr,Max_hr,Mean_hr,Men_acc_sqrt,Min_acc_x,Max_acc_x,Mean_acc_x,Min_acc_y,Max_acc_y,Mean_acc_y,Min_acc_z,Max_acc_z,Mean_acc_z,Etiquetas binarias,Etiquetas multiclase,ID
87.0,89.0,87.83,0.99,-0.11,-0.1,-0.11,-0.19,-0.18,-0.18,-0.97,-0.97,-0.97,1.0,2.0,7.0
86.0,88.0,87.29,0.99,-0.11,-0.1,-0.11,-0.18,-0.18,-0.18,-0.97,-0.97,-0.97,1.0,2.0,7.0
85.0,88.0,86.5,0.99,-0.11,-0.1,-0.11,-0.22,-0.18,-0.18,-0.97,-0.97,-0.97,1.0,2.0,7.0
86.0,89.0,87.2,0.99,-0.11,-0.1,-0.11,-0.2,-0.19,-0.2,-0.97,-0.97,-0.97,1.0,2.0,7.0
86.0,87.0,86.67,0.99,-0.11,-0.1,-0.11,-0.21,-0.19,-0.2,-0.97,-0.96,-0.97,1.0,2.0,7.0
58.0,68.0,61.0,1.01,-0.86,0.87,-0.57,-0.12,0.8,0.61,-0.74,1.56,-0.01,0.0,0.0,9.0
73.0,89.0,80.67,1.0,-0.82,-0.8,-0.8,-0.56,-0.54,-0.56,-0.2,-0.18,-0.19,0.0,0.0,9.0
61.0,63.0,61.83,1.0,-0.81,-0.79,-0.8,-0.57,-0.56,-0.56,-0.2,-0.19,-0.19,0.0,0.0,9.0
59.0,62.0,59.86,1.0,-1.11,-0.39,-0.67,-0.69,0.87,0.18,-1.01,0.18,-0.66,0.0,0.0,9.0
60.0,63.0,61.6,1.0,-0.4,-0.39,-0.39,-0.09,-0.08,-0.08,-0.91,-0.91,-0.91,0.0,0.0,9.0
57.0,63.0,59.83,1.0,-0.73,-0.36,-0.5,-0.93,0.41,-0.04,-1.05,-0.03,-0.83,1.0,1.0,9.0
59.0,61.0,59.33,1.0,-0.92,-0.62,-0.73,-0.65,-0.12,-0.37,-0.85,0.24,-0.54,1.0,1.0,9.0
58.0,60.0,59.0,1.0,-0.75,-0.73,-0.74,-0.35,-0.33,-0.34,-0.59,-0.56,-0.57,1.0,2.0,9.0
56.0,60.0,57.43,1.0,-0.77,-0.76,-0.76,-0.28,-0.27,-0.27,-0.59,-0.58,-0.58,1.0,2.0,9.0
57.0,59.0,57.83,1.0,-0.77,-0.75,-0.76,-0.28,-0.27,-0.27,-0.59,-0.58,-0.58,1.0,2.0,9.0
57.0,59.0,58.57,1.0,-0.76,-0.75,-0.76,-0.28,-0.27,-0.27,-0.59,-0.58,-0.58,1.0,2.0,9.0
57.0,59.0,57.5,1.0,-0.77,-0.75,-0.76,-0.28,-0.27,-0.27,-0.59,-0.58,-0.59,1.0,3.0,9.0
59.0,60.0,59.5,1.0,-0.76,-0.75,-0.76,-0.28,-0.27,-0.28,-0.59,-0.58,-0.59,1.0,3.0,9.0
57.0,60.0,57.83,1.0,-0.7,-0.69,-0.7,-0.71,-0.7,-0.71,-0.1,-0.09,-0.1,1.0,3.0,9.0
59.0,61.0,59.67,1.0,-0.7,-0.69,-0.7,-0.71,-0.7,-0.71,-0.1,-0.09,-0.09,1.0,3.0,9.0
61.0,64.0,63.0,0.99,-0.65,-0.53,-0.56,-0.67,-0.57,-0.58,-0.59,-0.41,-0.58,1.0,2.0,9.0
59.0,60.0,59.57,0.99,-0.59,-0.58,-0.59,-0.59,-0.58,-0.58,-0.56,-0.55,-0.55,1.0,2.0,9.0
59.0,60.0,59.14,0.99,-0.6,-0.58,-0.59,-0.59,-0.58,-0.58,-0.56,-0.55,-0.55,1.0,3.0,9.0
58.0,59.0,58.71,0.99,-0.6,-0.58,-0.59,-0.59,-0.58,-0.58,-0.56,-0.55,-0.55,1.0,3.0,9.0
59.0,60.0,59.17,0.99,-0.6,-0.58,-0.59,-0.59,-0.58,-0.58,-0.56,-0.55,-0.55,1.0,3.0,9.0
59.0,61.0,59.67,1.0,-0.65,-0.63,-0.64,-0.59,-0.59,-0.59,-0.49,-0.47,-0.48,1.0,3.0,9.0
60.0,61.0,60.67,1.0,-0.65,-0.63,-0.64,-0.59,-0.58,-0.59,-0.49,-0.47,-0.48,1.0,3.0,9.0
62.0,64.0,63.0,1.0,-0.65,-0.64,-0.64,-0.59,-0.58,-0.59,-0.48,-0.47,-0.48,1.0,3.0,9.0
64.0,65.0,64.29,1.0,-0.65,-0.64,-0.64,-0.59,-0.58,-0.59,-0.49,-0.47,-0.48,1.0,3.0,9.0
64.0,65.0,64.33,1.0,-0.66,-0.64,-0.64,-0.59,-0.58,-0.59,-0.49,-0.47,-0.48,1.0,3.0,9.0
63.0,64.0,63.6,1.0,-0.66,-0.63,-0.65,-0.59,-0.58,-0.59,-0.49,-0.47,-0.48,1.0,3.0,9.0
64.0,65.0,64.5,1.0,-0.65,-0.64,-0.65,-0.59,-0.58,-0.59,-0.49,-0.47,-0.48,1.0,3.0,9.0
65.0,65.0,65.0,1.0,-0.65,-0.64,-0.65,-0.59,-0.58,-0.59,-0.49,-0.47,-0.48,1.0,3.0,9.0
64.0,65.0,64.5,1.0,-0.66,-0.64,-0.65,-0.59,-0.58,-0.59,-0.49,-0.47,-0.48,1.0,3.0,9.0
66.0,67.0,66.17,1.0,-0.65,-0.64,-0.65,-0.59,-0.58,-0.59,-0.49,-0.47,-0.48,1.0,3.0,9.0
65.0,66.0,65.4,1.0,-0.65,-0.64,-0.65,-0.59,-0.58,-0.59,-0.49,-0.47,-0.48,1.0,3.0,9.0
63.0,69.0,64.71,1.0,-0.65,-0.63,-0.64,-0.59,-0.58,-0.59,-0.49,-0.47,-0.48,1.0,3.0,9.0
64.0,65.0,64.17,1.0,-0.66,-0.64,-0.65,-0.57,-0.56,-0.57,-0.5,-0.49,-0.5,1.0,3.0,9.0
64.0,67.0,65.29,1.0,-0.66,-0.64,-0.65,-0.57,-0.56,-0.57,-0.5,-0.49,-0.5,1.0,3.0,9.0
61.0,63.0,62.0,1.0,-0.66,-0.64,-0.65,-0.57,-0.56,-0.57,-0.5,-0.49,-0.49,1.0,3.0,9.0
64.0,67.0,65.0,1.0,-0.67,-0.64,-0.65,-0.58,-0.56,-0.57,-0.51,-0.48,-0.49,1.0,3.0,9.0
63.0,67.0,64.67,1.0,-0.66,-0.64,-0.65,-0.58,-0.57,-0.57,-0.5,-0.48,-0.49,1.0,3.0,9.0
61.0,65.0,63.0,0.99,-0.59,-0.57,-0.58,-0.74,-0.73,-0.73,-0.35,-0.33,-0.34,1.0,3.0,9.0
64.0,72.0,67.14,1.0,-0.9,-0.46,-0.6,-1.05,0.36,-0.61,-0.76,0.53,-0.42,1.0,3.0,9.0
60.0,66.0,62.5,1.0,-0.61,-0.6,-0.6,-0.77,-0.77,-0.77,-0.19,-0.18,-0.18,1.0,3.0,9.0
61.0,63.0,62.17,1.0,-0.61,-0.6,-0.6,-0.77,-0.77,-0.77,-0.19,-0.17,-0.19,1.0,3.0,9.0
61.0,64.0,62.57,1.0,-0.61,-0.6,-0.6,-0.77,-0.77,-0.77,-0.2,-0.18,-0.19,1.0,3.0,9.0
62.0,64.0,62.83,1.0,-0.61,-0.59,-0.6,-0.77,-0.77,-0.77,-0.2,-0.18,-0.19,1.0,3.0,9.0
62.0,63.0,62.67,1.0,-0.61,-0.59,-0.6,-0.77,-0.77,-0.77,-0.2,-0.19,-0.19,1.0,3.0,9.0
64.0,65.0,64.83,1.0,-0.61,-0.59,-0.6,-0.77,-0.77,-0.77,-0.2,-0.18,-0.19,1.0,3.0,9.0
64.0,65.0,64.33,1.0,-0.6,-0.59,-0.6,-0.78,-0.77,-0.77,-0.2,-0.19,-0.19,1.0,3.0,9.0
65.0,68.0,66.4,1.0,-0.6,-0.59,-0.6,-0.78,-0.77,-0.77,-0.2,-0.19,-0.19,1.0,3.0,9.0
60.0,63.0,61.83,0.99,-0.53,-0.52,-0.52,-0.6,-0.58,-0.59,-0.61,-0.6,-0.6,1.0,3.0,9.0
62.0,63.0,62.33,0.99,-0.54,-0.53,-0.53,-0.59,-0.57,-0.58,-0.61,-0.6,-0.61,1.0,3.0,9.0
60.0,63.0,61.67,0.99,-0.54,-0.53,-0.53,-0.59,-0.58,-0.58,-0.61,-0.6,-0.6,1.0,3.0,9.0
59.0,66.0,61.83,0.99,-0.54,-0.53,-0.53,-0.74,-0.73,-0.74,-0.41,-0.39,-0.4,1.0,2.0,9.0
62.0,65.0,63.6,0.99,-0.54,-0.52,-0.53,-0.76,-0.73,-0.74,-0.41,-0.37,-0.41,1.0,2.0,9.0
59.0,60.0,59.67,0.99,-0.56,-0.56,-0.56,-0.62,-0.61,-0.62,-0.55,-0.54,-0.54,1.0,2.0,9.0
63.0,63.0,63.0,0.99,-0.56,-0.55,-0.56,-0.62,-0.61,-0.61,-0.55,-0.54,-0.55,1.0,2.0,9.0
60.0,64.0,62.2,0.99,-0.56,-0.55,-0.56,-0.61,-0.61,-0.61,-0.55,-0.55,-0.55,0.0,5.0,9.0
61.0,65.0,63.6,0.99,-0.56,-0.55,-0.56,-0.61,-0.6,-0.61,-0.56,-0.55,-0.55,0.0,5.0,9.0
61.0,63.0,62.0,0.99,-0.56,-0.55,-0.56,-0.61,-0.6,-0.61,-0.56,-0.55,-0.55,0.0,5.0,9.0
70.0,80.0,75.0,1.0,-0.81,-0.53,-0.55,-0.67,-0.34,-0.43,-0.75,-0.3,-0.7,0.0,5.0,9.0
61.0,66.0,63.67,0.99,-0.55,-0.53,-0.54,-0.38,-0.37,-0.37,-0.75,-0.74,-0.75,0.0,5.0,9.0
66.0,70.0,68.0,0.99,-0.55,-0.54,-0.54,-0.38,-0.37,-0.37,-0.75,-0.74,-0.75,0.0,5.0,9.0
66.0,70.0,68.67,0.99,-0.55,-0.53,-0.54,-0.37,-0.36,-0.37,-0.75,-0.73,-0.75,0.0,5.0,9.0
64.0,65.0,64.33,0.99,-0.55,-0.54,-0.54,-0.37,-0.36,-0.37,-0.75,-0.75,-0.75,1.0,2.0,9.0
62.0,63.0,62.5,0.99,-0.52,-0.51,-0.52,-0.56,-0.55,-0.55,-0.65,-0.64,-0.65,1.0,2.0,9.0
63.0,64.0,63.67,1.0,-0.64,-0.62,-0.63,-0.68,-0.67,-0.67,-0.38,-0.37,-0.37,1.0,2.0,9.0
61.0,62.0,61.67,1.0,-0.64,-0.62,-0.63,-0.67,-0.67,-0.67,-0.39,-0.37,-0.38,1.0,2.0,9.0
62.0,64.0,62.83,1.0,-0.64,-0.62,-0.63,-0.67,-0.67,-0.67,-0.39,-0.37,-0.38,1.0,2.0,9.0
61.0,62.0,61.71,1.0,-0.64,-0.62,-0.63,-0.68,-0.67,-0.67,-0.38,-0.37,-0.38,1.0,2.0,9.0
59.0,60.0,59.5,0.99,-0.64,-0.62,-0.63,-0.68,-0.67,-0.67,-0.39,-0.37,-0.38,1.0,2.0,9.0
61.0,64.0,62.17,1.0,-0.63,-0.61,-0.62,-0.68,-0.67,-0.68,-0.39,-0.37,-0.38,1.0,2.0,9.0
62.0,64.0,62.67,1.0,-0.63,-0.62,-0.62,-0.68,-0.67,-0.68,-0.39,-0.37,-0.38,1.0,2.0,9.0
62.0,63.0,62.6,1.0,-0.63,-0.61,-0.62,-0.68,-0.67,-0.68,-0.39,-0.37,-0.38,1.0,2.0,9.0
63.0,64.0,63.33,1.0,-0.63,-0.61,-0.62,-0.68,-0.67,-0.68,-0.39,-0.37,-0.38,1.0,2.0,9.0
63.0,64.0,63.5,1.0,-0.63,-0.61,-0.62,-0.68,-0.67,-0.68,-0.39,-0.37,-0.38,1.0,2.0,9.0
63.0,66.0,64.8,1.0,-0.63,-0.61,-0.62,-0.68,-0.67,-0.68,-0.39,-0.37,-0.38,1.0,2.0,9.0
64.0,68.0,66.0,0.99,-0.64,-0.61,-0.62,-0.68,-0.51,-0.67,-0.41,-0.37,-0.39,1.0,2.0,9.0
58.0,63.0,60.5,0.99,-0.53,-0.52,-0.53,-0.68,-0.67,-0.68,-0.5,-0.49,-0.5,1.0,2.0,9.0
61.0,62.0,61.33,0.99,-0.53,-0.52,-0.52,-0.68,-0.67,-0.68,-0.51,-0.5,-0.5,1.0,2.0,9.0
61.0,64.0,62.83,0.99,-0.53,-0.51,-0.52,-0.68,-0.67,-0.68,-0.52,-0.5,-0.51,1.0,2.0,9.0
61.0,62.0,61.71,0.99,-0.52,-0.51,-0.52,-0.68,-0.67,-0.68,-0.52,-0.51,-0.51,1.0,2.0,9.0
60.0,64.0,62.0,0.99,-0.51,-0.5,-0.51,-0.69,-0.68,-0.68,-0.52,-0.51,-0.52,1.0,2.0,9.0
63.0,64.0,63.86,0.99,-0.51,-0.5,-0.51,-0.69,-0.68,-0.68,-0.52,-0.51,-0.52,1.0,2.0,9.0
62.0,63.0,62.5,0.99,-0.51,-0.5,-0.5,-0.69,-0.67,-0.68,-0.53,-0.51,-0.52,1.0,2.0,9.0
62.0,66.0,63.17,0.99,-0.51,-0.5,-0.5,-0.69,-0.67,-0.68,-0.53,-0.5,-0.52,1.0,2.0,9.0
61.0,62.0,61.67,0.99,-0.51,-0.49,-0.5,-0.68,-0.67,-0.68,-0.53,-0.52,-0.53,1.0,2.0,9.0
59.0,62.0,60.33,0.99,-0.62,-0.42,-0.5,-0.74,-0.43,-0.71,-0.82,-0.4,-0.48,1.0,2.0,9.0
63.0,67.0,64.67,0.99,-0.5,-0.49,-0.49,-0.73,-0.72,-0.72,-0.48,-0.46,-0.47,1.0,2.0,9.0
63.0,65.0,63.6,0.99,-0.5,-0.49,-0.49,-0.73,-0.72,-0.72,-0.48,-0.47,-0.47,1.0,2.0,9.0
62.0,66.0,63.43,0.99,-0.49,-0.49,-0.49,-0.73,-0.72,-0.72,-0.48,-0.47,-0.48,1.0,2.0,9.0
63.0,76.0,67.33,1.0,-0.59,-0.27,-0.5,-1.02,-0.6,-0.75,-0.6,0.45,-0.34,0.0,0.0,9.0
65.0,67.0,65.5,0.99,-0.54,-0.53,-0.53,-0.7,-0.69,-0.7,-0.47,-0.46,-0.46,1.0,2.0,9.0
68.0,69.0,68.2,0.99,-0.54,-0.52,-0.53,-0.7,-0.69,-0.7,-0.49,-0.47,-0.47,0.0,0.0,9.0
63.0,66.0,64.17,0.99,-0.52,-0.51,-0.52,-0.68,-0.67,-0.68,-0.51,-0.5,-0.51,1.0,1.0,9.0
63.0,69.0,65.6,1.0,-0.8,-0.47,-0.58,-0.45,-0.05,-0.34,-0.77,-0.52,-0.71,0.0,0.0,9.0
77.0,85.0,79.4,1.01,-0.91,1.1,0.24,0.12,1.17,0.62,-0.95,0.86,-0.29,0.0,0.0,9.0
81.0,94.0,86.14,1.01,-0.92,0.38,-0.29,0.38,1.25,0.79,-0.8,0.59,-0.21,0.0,0.0,9.0
71.0,73.0,72.0,1.0,-0.96,-0.85,-0.88,-0.51,-0.39,-0.47,-0.02,0.15,0.07,0.0,0.0,9.0
64.0,68.0,65.67,1.0,-0.72,-0.7,-0.71,-0.45,-0.43,-0.44,-0.55,-0.54,-0.54,0.0,0.0,9.0
63.0,64.0,63.5,1.0,-0.73,-0.72,-0.72,-0.42,-0.41,-0.41,-0.55,-0.54,-0.55,0.0,0.0,9.0
61.0,62.0,61.5,1.0,-0.72,-0.7,-0.71,-0.08,-0.07,-0.07,-0.7,-0.69,-0.7,0.0,0.0,9.0
60.0,65.0,61.57,0.99,-0.76,-0.41,-0.45,-0.33,0.21,-0.27,-0.89,-0.6,-0.84,0.0,0.0,9.0
97.0,104.0,100.0,1.0,-0.01,0.0,-0.0,-1.0,-0.99,-0.99,0.09,0.11,0.1,0.0,0.0,13.0
92.0,99.0,95.29,0.99,-0.29,0.07,-0.01,-1.2,-0.28,-0.98,-0.38,0.36,0.11,0.0,0.0,13.0
88.0,91.0,89.0,1.0,0.03,0.04,0.04,-0.99,-0.98,-0.99,0.14,0.16,0.15,0.0,0.0,13.0
90.0,94.0,91.5,1.0,0.03,0.04,0.04,-0.99,-0.98,-0.99,0.14,0.16,0.15,0.0,0.0,13.0
90.0,92.0,90.6,1.0,0.03,0.04,0.04,-0.99,-0.98,-0.99,0.14,0.16,0.14,0.0,0.0,13.0
84.0,85.0,84.33,1.0,0.04,0.04,0.04,-0.99,-0.98,-0.99,0.13,0.15,0.14,1.0,1.0,13.0
81.0,85.0,82.8,1.0,0.02,0.04,0.03,-0.99,-0.98,-0.98,0.15,0.18,0.16,1.0,1.0,13.0
80.0,81.0,80.83,1.0,0.19,0.2,0.2,-0.94,-0.92,-0.93,0.31,0.32,0.31,1.0,2.0,13.0
79.0,85.0,80.57,1.0,-0.46,0.22,0.14,-1.2,-0.34,-0.92,-0.87,0.38,0.25,1.0,2.0,13.0
81.0,85.0,82.33,1.0,0.11,0.13,0.11,-0.95,-0.93,-0.94,0.29,0.35,0.33,1.0,2.0,13.0
79.0,81.0,80.6,1.0,0.11,0.13,0.12,-0.93,-0.88,-0.89,0.42,0.45,0.44,1.0,2.0,13.0
81.0,82.0,81.14,1.0,0.14,0.15,0.15,-0.92,-0.91,-0.92,0.37,0.39,0.38,1.0,3.0,13.0
82.0,85.0,82.86,1.0,0.14,0.15,0.14,-0.92,-0.91,-0.92,0.37,0.39,0.38,1.0,3.0,13.0
82.0,84.0,82.83,1.0,0.14,0.15,0.14,-0.92,-0.91,-0.92,0.36,0.39,0.38,1.0,3.0,13.0
82.0,87.0,83.86,1.0,0.16,0.2,0.19,-0.92,-0.89,-0.9,0.39,0.42,0.4,1.0,3.0,13.0
84.0,86.0,85.0,1.0,0.18,0.19,0.18,-0.9,-0.88,-0.89,0.42,0.44,0.43,1.0,3.0,13.0
81.0,85.0,83.83,1.0,0.17,0.18,0.18,-0.9,-0.89,-0.89,0.41,0.44,0.42,1.0,3.0,13.0
84.0,86.0,84.67,1.0,0.17,0.18,0.18,-0.9,-0.89,-0.89,0.41,0.43,0.42,1.0,3.0,13.0
84.0,85.0,84.5,1.0,0.17,0.18,0.17,-0.9,-0.89,-0.89,0.39,0.43,0.42,1.0,3.0,13.0
84.0,85.0,84.71,1.0,0.17,0.18,0.17,-0.91,-0.89,-0.9,0.4,0.42,0.41,1.0,3.0,13.0
87.0,98.0,90.86,1.0,-0.58,0.25,-0.08,-1.37,0.37,-0.34,-1.12,0.5,-0.38,1.0,3.0,13.0
85.0,87.0,86.33,0.99,-0.24,-0.21,-0.22,0.11,0.14,0.12,-0.98,-0.94,-0.96,1.0,3.0,13.0
88.0,89.0,88.2,0.99,-0.22,-0.21,-0.22,0.12,0.13,0.12,-0.96,-0.95,-0.96,1.0,3.0,13.0
87.0,90.0,88.5,0.99,-0.23,-0.21,-0.22,0.11,0.13,0.13,-0.96,-0.94,-0.96,1.0,3.0,13.0
88.0,89.0,88.43,0.99,-0.23,-0.21,-0.22,0.12,0.14,0.13,-0.96,-0.95,-0.96,1.0,3.0,13.0
87.0,89.0,87.83,0.99,-0.22,-0.21,-0.22,0.12,0.14,0.13,-0.96,-0.95,-0.96,1.0,3.0,13.0
85.0,88.0,87.0,0.99,-0.22,-0.21,-0.22,0.12,0.14,0.13,-0.96,-0.93,-0.96,1.0,3.0,13.0
84.0,91.0,86.17,0.99,-0.22,-0.21,-0.21,0.11,0.12,0.11,-0.96,-0.95,-0.96,1.0,3.0,13.0
88.0,90.0,89.29,0.99,-0.22,-0.21,-0.21,0.11,0.13,0.12,-0.96,-0.95,-0.96,1.0,3.0,13.0
88.0,90.0,88.83,0.99,-0.22,-0.21,-0.21,0.11,0.13,0.12,-0.96,-0.95,-0.96,1.0,3.0,13.0
86.0,90.0,88.29,0.99,-0.22,-0.21,-0.21,0.12,0.13,0.12,-0.96,-0.95,-0.96,1.0,3.0,13.0
87.0,91.0,89.17,0.99,-0.22,-0.21,-0.21,0.11,0.13,0.12,-0.96,-0.95,-0.96,1.0,3.0,13.0
91.0,100.0,94.83,0.99,-0.22,-0.21,-0.21,0.12,0.14,0.13,-0.96,-0.95,-0.96,1.0,1.0,13.0
80.0,83.0,81.5,0.99,0.06,0.08,0.07,-0.65,-0.63,-0.64,-0.76,-0.75,-0.76,1.0,2.0,13.0
81.0,85.0,83.0,0.99,0.06,0.07,0.06,-0.68,-0.66,-0.66,-0.74,-0.73,-0.73,1.0,2.0,13.0
84.0,85.0,84.57,0.99,-0.24,-0.23,-0.24,-0.02,-0.01,-0.01,-0.97,-0.95,-0.96,1.0,2.0,13.0
85.0,87.0,85.6,0.99,-0.24,-0.23,-0.24,-0.03,-0.02,-0.02,-0.97,-0.96,-0.96,1.0,3.0,13.0
85.0,87.0,86.5,0.99,-0.24,-0.23,-0.24,-0.03,-0.02,-0.03,-0.97,-0.95,-0.96,1.0,3.0,13.0
85.0,87.0,86.0,0.99,-0.26,-0.25,-0.26,-0.3,-0.28,-0.29,-0.92,-0.9,-0.91,1.0,3.0,13.0
86.0,89.0,87.8,0.99,-0.26,-0.25,-0.25,-0.3,-0.28,-0.29,-0.92,-0.91,-0.91,1.0,3.0,13.0
84.0,88.0,86.29,0.99,-0.26,-0.24,-0.25,-0.3,-0.28,-0.29,-0.92,-0.91,-0.91,1.0,3.0,13.0
87.0,88.0,87.4,0.99,-0.25,-0.24,-0.24,-0.28,-0.27,-0.27,-0.93,-0.91,-0.92,1.0,3.0,13.0
86.0,88.0,87.17,0.99,-0.25,-0.24,-0.24,-0.3,-0.26,-0.27,-0.93,-0.91,-0.92,1.0,3.0,13.0
86.0,88.0,86.8,0.99,-0.25,-0.24,-0.24,-0.28,-0.26,-0.27,-0.93,-0.92,-0.92,1.0,3.0,13.0
86.0,87.0,86.71,0.99,-0.25,-0.24,-0.24,-0.28,-0.26,-0.27,-0.93,-0.92,-0.92,1.0,3.0,13.0
84.0,86.0,85.2,0.99,-0.25,-0.24,-0.24,-0.27,-0.26,-0.27,-0.93,-0.92,-0.92,1.0,3.0,13.0
85.0,87.0,85.83,0.99,-0.25,-0.24,-0.24,-0.28,-0.27,-0.27,-0.92,-0.92,-0.92,1.0,3.0,13.0
84.0,86.0,84.83,0.99,-0.25,-0.24,-0.24,-0.3,-0.29,-0.29,-0.92,-0.91,-0.91,1.0,2.0,13.0
84.0,87.0,85.5,0.99,-0.25,-0.24,-0.24,-0.3,-0.28,-0.29,-0.92,-0.91,-0.92,1.0,3.0,13.0
81.0,84.0,82.17,0.99,-0.28,-0.27,-0.27,-0.48,-0.46,-0.47,-0.83,-0.82,-0.83,1.0,2.0,13.0
80.0,111.0,95.83,1.0,0.67,0.68,0.67,0.73,0.74,0.74,-0.04,0.01,-0.02,0.0,0.0,13.0
76.0,78.0,77.0,1.0,0.65,0.66,0.65,0.75,0.76,0.76,-0.02,0.0,-0.01,1.0,2.0,13.0
75.0,82.0,78.5,1.0,0.65,0.66,0.65,0.75,0.76,0.76,-0.02,-0.0,-0.01,1.0,2.0,13.0
77.0,91.0,83.4,1.0,0.65,0.66,0.65,0.75,0.76,0.76,-0.04,-0.01,-0.02,1.0,2.0,13.0
76.0,97.0,81.17,1.0,0.3,0.31,0.3,0.63,0.65,0.64,0.7,0.72,0.71,1.0,1.0,13.0
78.0,80.0,79.0,1.0,0.3,0.3,0.3,0.63,0.64,0.64,0.71,0.72,0.72,1.0,2.0,13.0
77.0,79.0,78.17,1.0,0.29,0.3,0.3,0.63,0.64,0.64,0.71,0.72,0.72,1.0,2.0,13.0
74.0,76.0,75.0,1.01,0.25,0.26,0.26,-0.27,-0.26,-0.26,0.92,0.94,0.94,1.0,2.0,13.0
79.0,79.0,79.0,1.01,0.25,0.26,0.26,-0.27,-0.27,-0.27,0.93,0.94,0.94,1.0,2.0,13.0
76.0,79.0,77.86,1.01,0.27,0.28,0.27,-0.29,-0.28,-0.28,0.92,0.93,0.93,1.0,2.0,13.0
73.0,77.0,75.17,1.01,0.28,0.28,0.28,-0.31,-0.3,-0.31,0.91,0.92,0.92,1.0,2.0,13.0
74.0,76.0,75.57,1.01,0.28,0.28,0.28,-0.3,-0.3,-0.3,0.92,0.92,0.92,1.0,2.0,13.0
74.0,76.0,74.83,1.01,0.28,0.28,0.28,-0.3,-0.29,-0.29,0.92,0.93,0.92,1.0,2.0,13.0
75.0,76.0,75.86,1.01,0.28,0.29,0.28,-0.3,-0.29,-0.29,0.92,0.93,0.92,1.0,2.0,13.0
75.0,76.0,75.6,1.01,0.27,0.28,0.28,-0.29,-0.29,-0.29,0.92,0.93,0.92,1.0,2.0,13.0
76.0,77.0,76.33,1.01,0.27,0.29,0.28,-0.31,-0.29,-0.3,0.92,0.92,0.92,1.0,2.0,13.0
72.0,79.0,74.5,1.01,0.3,0.31,0.31,-0.37,-0.36,-0.37,0.88,0.89,0.89,1.0,2.0,13.0
80.0,85.0,82.67,1.01,0.3,0.32,0.31,-0.36,-0.33,-0.35,0.87,0.9,0.89,1.0,2.0,13.0
76.0,78.0,77.33,0.99,-0.14,-0.13,-0.14,0.31,0.34,0.33,-0.93,-0.92,-0.92,1.0,2.0,13.0
80.0,92.0,85.4,1.0,-0.68,-0.26,-0.3,-1.17,0.55,-0.8,-1.04,0.19,-0.4,1.0,1.0,13.0
78.0,85.0,81.6,1.0,-0.09,-0.06,-0.08,0.8,0.82,0.81,0.54,0.6,0.58,1.0,2.0,13.0
78.0,87.0,82.0,1.0,-0.11,-0.1,-0.1,0.8,0.81,0.81,0.58,0.59,0.58,1.0,1.0,13.0
80.0,80.0,80.0,1.0,-0.09,-0.08,-0.09,0.82,0.84,0.82,0.56,0.59,0.56,1.0,2.0,13.0
73.0,75.0,73.6,0.99,-0.33,-0.32,-0.32,-0.14,-0.13,-0.14,-0.94,-0.92,-0.93,1.0,1.0,13.0
79.0,87.0,82.0,1.0,0.24,0.25,0.25,-0.91,-0.9,-0.9,0.35,0.37,0.36,1.0,1.0,13.0
75.0,77.0,75.83,1.0,0.23,0.24,0.24,-0.91,-0.9,-0.91,0.34,0.36,0.35,1.0,2.0,13.0
76.0,79.0,77.6,1.0,0.24,0.24,0.24,-0.91,-0.9,-0.91,0.35,0.37,0.36,1.0,2.0,13.0
75.0,77.0,76.0,0.99,-0.04,-0.03,-0.03,0.15,0.16,0.16,-0.98,-0.97,-0.98,1.0,2.0,13.0
78.0,89.0,83.83,0.99,-0.06,-0.05,-0.06,0.16,0.17,0.17,-0.98,-0.97,-0.98,1.0,1.0,13.0
74.0,76.0,74.86,0.99,-0.05,-0.04,-0.05,0.15,0.16,0.16,-0.98,-0.97,-0.98,1.0,2.0,13.0
79.0,80.0,79.33,0.99,-0.05,-0.04,-0.04,0.14,0.16,0.16,-0.98,-0.97,-0.98,1.0,2.0,13.0
73.0,78.0,76.0,0.99,-0.06,-0.05,-0.05,0.16,0.17,0.16,-0.98,-0.97,-0.97,1.0,2.0,13.0
77.0,104.0,86.86,1.01,-0.06,1.1,0.24,-0.38,0.59,0.14,-1.01,1.07,0.23,0.0,0.0,13.0
75.0,77.0,75.83,1.01,0.4,0.41,0.4,0.22,0.26,0.24,0.88,0.9,0.89,1.0,2.0,13.0
75.0,78.0,75.86,1.01,0.39,0.42,0.4,0.26,0.28,0.26,0.87,0.89,0.89,1.0,2.0,13.0
73.0,78.0,75.0,1.01,0.39,0.39,0.39,0.27,0.28,0.27,0.88,0.89,0.89,1.0,2.0,13.0
75.0,76.0,75.86,1.01,0.39,0.39,0.39,0.27,0.28,0.27,0.88,0.92,0.89,1.0,2.0,13.0
74.0,97.0,88.2,1.01,-0.19,0.95,0.27,-1.08,1.32,-0.77,-1.14,0.93,0.22,1.0,1.0,13.0
79.0,84.0,81.17,1.0,0.23,0.26,0.24,-0.96,-0.94,-0.95,0.16,0.21,0.19,1.0,1.0,13.0
77.0,90.0,83.33,0.99,-0.25,-0.22,-0.23,0.07,0.19,0.14,-0.97,-0.93,-0.95,1.0,2.0,13.0
